species,speciesID,common_name,taxonomic_group,doc_type,sara_status,date_of_listing,doc_citation,url,year_published,CC_threat_CA,seabird,seabird_notes,migratory,subspecies,population,sdm,range_data,rationale_excluded,range_data_source,range_data_citation,spatial_data_used,spatial_data_type,spatial_data_date_accessed,spatial_data_verified,spatial_data_verified_notes,range_size_Canada,range_size_America,exclude_Hardouin_Hargreaves,cc_threat_ca_adj,sara_status_adj,year_of_listing,min_year_of_listing,cc_sdm,sdm_no_cc,sdm_ca,cc_sdm_ca,sdm_no_cc_ca,n_sdm,n_cc_sdm,n_sdm_ca,n_cc_sdm_ca,rsf_sdm,n_rsf_sdm,rowID,X2_primary_review_date,X2_secondary_review_date,X2_cc_sdm,X2_cc_sdm_ref_type,X2_cc_sdm_reference,X2_cc_sdm_section,X2_cc_sdm_cc_threat,X2_cc_sdm_oth_threat,X2_other_sdm,X2_other_sdm_reference,X2_other_sdm_section,X2_other_sdm_cc_threat,X2_other_sdm_oth_threat,X2_other_cc_model,start_date,n_sdm_ca_avl,n_cc_sdm_ca_avl
Chimaphila maculata,120,spotted wintergreen,Vascular Plants,Recovery Strategies,Endangered,NA,"Environment Canada. 2015. Recovery Strategy for the Spotted Wintergreen (Chimaphila maculata) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. 26 pp. + Annexes.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=spotted%20wintergreen,2015,0,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,43215.47475,1465263.1,N,1,Endangered,NA,2003,1,0,0,0,0,1,1,0,0,1,1,1504,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2014,0,0
Chordeiles minor,506,common nighthawk,Birds,Recovery Strategies,Threatened,NA,"Environment Canada. 2016. Recovery Strategy for the Common Nighthawk (Chordeiles minor) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. vii + 49 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=common%20nighthawk,2016,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World 2021. Chordeiles minor. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,4833395.196,13003938.12,NA,1,Threatened,NA,2010,1,0,1,1,0,6,6,5,5,1,6,1769,5/28/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,2015,2,2
Chordeiles minor,506,common nighthawk,Birds,COSEWIC Status Reports,Threatened,2/23/2010,COSEWIC. 2018. COSEWIC assessment and status report on the Common Nighthawk (Chordeiles minor) in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 50 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=common%20nighthawk,2018,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World 2021. Chordeiles minor. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,4833395.196,13003938.12,NA,1,Threatened,2010,2010,1,0,1,1,0,6,6,5,5,1,6,76,5/27/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,2017,2,2
Chordeiles minor,506,common nighthawk,Birds,COSEWIC Status Reports,Threatened,2/23/2010,COSEWIC 2007. COSEWIC assessment and status report on the Common Nighthawk Chordeiles minor in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 25 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=common%20nighthawk,2007,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World 2021. Chordeiles minor. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,4833395.196,13003938.12,NA,1,Threatened,2010,2010,1,0,1,1,0,6,6,5,5,1,6,778,5/28/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2006,0,0
Chrysemys picta bellii,500,western painted turtle pacific coast population,Reptiles,COSEWIC Status Reports,Endangered,12/13/2007,"COSEWIC. 2016. COSEWIC assessment and status report on the Western Painted Turtle Chrysemys picta bellii, Pacific Coast population, Intermountain – Rocky Mountain population and Prairie/Western Boreal – Canadian Shield population, in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xxi + 95 pp",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20painted%20turtle%20pacific%20coast%20population,2016,1,0,NA,0,1,1,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,424066.0016,2749086.582,N,1,Endangered,2007,2007,0,0,0,0,0,0,0,0,0,0,0,835,5/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2015,0,0
Chrysemys picta bellii,500,western painted turtle pacific coast population,Reptiles,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2018. Recovery Strategy for the Western Painted Turtle (Chrysemys picta bellii) Pacific Coast population in Canada [Proposed]. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 2 parts, 31 pp. + 59 pp",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20painted%20turtle%20pacific%20coast%20population,2018,NE,0,NA,0,1,1,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,424066.0016,2749086.582,N,1,Endangered,NA,2007,0,0,0,0,0,0,0,0,0,0,0,1826,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2017,0,0
Chrysemys picta bellii,501,western painted turtle intermountain-rocky mountain population,Reptiles,Management Plans,Special Concern,NA,"Environment and Climate Change Canada. 2018. Management Plan for the Western Painted Turtle (Chrysemys picta bellii) Intermountain – Rocky Mountain population in Canada. Species at Risk Act Management Plan Series. Environment and Climate Change Canada, Ottawa. 2 parts, 4 pp. + 31 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20painted%20turtle%20intermountain%20-%20rocky%20mountain%20population,2018,1,0,NA,0,1,1,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,424066.0016,2749086.582,N,1,Endangered,NA,2007,0,0,0,0,0,0,0,0,0,0,0,356,5/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2017,0,0
Chrysemys picta bellii,501,western painted turtle intermountain-rocky mountain population,Reptiles,COSEWIC Status Reports,Special Concern,12/13/2007,"COSEWIC. 2016. COSEWIC assessment and status report on the Western Painted Turtle Chrysemys picta bellii, Pacific Coast population, Intermountain â€“ Rocky Mountain population and Prairie/Western Boreal â€“ Canadian Shield population,in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xxi + 95 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20painted%20turtle%20intermountain%20-%20rocky%20mountain%20population,2016,1,0,NA,0,1,1,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,424066.0016,2749086.582,N,1,Endangered,2007,2007,0,0,0,0,0,0,0,0,0,0,0,895,5/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2015,0,0
Cicindela formosa gibsoni,186,gibson's big sand tiger beetle,Arthropods,COSEWIC Status Reports,Threatened,2/2/2018,COSEWIC. 2012. COSEWIC assessment and status report on the Gibson’s Big Sand Tiger Beetle Cicindela formosa gibsoni in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ix + 42 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=gibson%27s%20big%20sand%20tiger%20beetle,2012,1,0,NA,0,1,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,41346.53384,44812.73777,N,1,Threatened,2018,2018,0,0,0,0,0,0,0,0,0,0,0,862,6/17/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2011,0,0
Cicindela marginipennis,248,cobblestone tiger beetle,Arthropods,Recovery Strategies,Endangered,NA,"Environment Canada. 2013. Recovery Strategy for the Cobblestone Tiger Beetle (Cicindela marginipennis) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. v + 18 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=cobblestone%20tiger%20beetle,2013,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,457.266109,148928.1781,N,0,Endangered,NA,2011,0,0,0,0,0,0,0,0,0,0,0,1665,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2012,0,0
Cicindela marginipennis,248,cobblestone tiger beetle,Arthropods,COSEWIC Status Reports,Endangered,2/4/2011,COSEWIC. 2008. COSEWIC assessment and status report on the Cobblestone Tiger Beetle Cicindela marginipennis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 27 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=cobblestone%20tiger%20beetle,2008,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,457.266109,148928.1781,N,0,Endangered,2011,2011,0,0,0,0,0,0,0,0,0,0,0,674,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2007,0,0
Cicindela parowana wallisi,251,wallis' dark saltflat tiger beetle,Arthropods,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2017. Recovery Strategy for the Wallisâ€™ Dark Saltflat Tiger Beetle (Cicindela parowana wallisi) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 2 parts, 7 pp. + 22 pp",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=wallis%27%20dark%20saltflat%20tiger%20beetle,2017,1,0,NA,0,1,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,14434.11955,170651.3163,N,1,Endangered,NA,2012,0,0,0,0,0,0,0,0,0,0,0,1777,6/10/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2016,0,0
Cicindela parowana wallisi,251,wallis' dark saltflat tiger beetle,Arthropods,COSEWIC Status Reports,Endangered,6/20/2012,COSEWIC. 2009. COSEWIC assessment and status report on the Wallis’ Dark Saltflat Tiger Beetle Cicindela parowana wallisi in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 28 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=wallis%27%20dark%20saltflat%20tiger%20beetle,2009,0,0,NA,0,1,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,14434.11955,170651.3163,N,1,Endangered,2012,2012,0,0,0,0,0,0,0,0,0,0,0,786,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2008,0,0
Cicindela patruela,249,northern barrens tiger beetle,Arthropods,COSEWIC Status Reports,Endangered,6/20/2012,COSEWIC. 2009. COSEWICassessment and status report on the Northern Barrens Tiger Beetle Cicindela patruela in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 36 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20barrens%20tiger%20beetle,2009,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,10272.90014,1117906.009,N,0,Endangered,2012,2012,0,0,0,0,0,0,0,0,0,0,0,747,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2008,0,0
Cicindela patruela,249,northern barrens tiger beetle,Arthropods,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2021. Recovery Strategy for the Northern Barrens Tiger Beetle (Cicindela patruela) in Canada, Species at Risk Act Recovery Strategy Series, Environment and Climate Change Canada, Ottawa, vi + 30 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20barrens%20tiger%20beetle,2021,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,10272.90014,1117906.009,N,0,Endangered,NA,2012,0,0,0,0,0,0,0,0,0,0,0,1738,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2020,0,0
Cicuta maculata var. victorinii,137,victorin's water-hemlock,Vascular Plants,COSEWIC Status Reports,Special Concern,7/14/2005,"COSEWIC 2004. COSEWIC assessment and update status report on the Victorin’s water-hemlock, Cicuta maculata var. victorinii in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 21 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=victorin%27s%20water%20-%20hemlock,2004,0,0,NA,0,1,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,7896.262205,7896.262205,N,1,Special Concern,2005,2005,0,0,0,0,0,0,0,0,0,0,0,976,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2003,0,0
Cicuta maculata var. victorinii,137,victorin's water-hemlock,Vascular Plants,Management Plans,Special Concern,NA,"Environment Canada. 2011. Management Plan for Victorinâ€™s Water-hemlock (Cicuta maculata var. victorinii) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa, iii + 22 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=victorin%27s%20water%20-%20hemlock,2011,1,0,NA,0,1,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,7896.262205,7896.262205,N,1,Special Concern,NA,2005,0,0,0,0,0,0,0,0,0,0,0,2100,6/26/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2010,0,0
Cirsium hillii,299,hill's thistle,Vascular Plants,Recovery Strategies,Threatened,NA,Parks Canada Agency. 2011. Recovery Strategy for Hill's Thistle (Cirsium hillii) in Canada. Species at Risk Act Recovery Strategy Series. Parks Canada Agency. Ottawa. viii + 84 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=hill%27s%20thistle,2011,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,20910.59187,497831.462,N,0,Threatened,NA,2006,0,0,0,0,0,0,0,0,0,0,0,1617,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2010,0,0
Cirsium hillii,299,hill's thistle,Vascular Plants,COSEWIC Status Reports,Threatened,8/15/2006,COSEWIC 2004. COSEWIC assessment and status report on Hill’s thistle Cirsium hillii in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 34 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=hill%27s%20thistle,2004,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,20910.59187,497831.462,N,0,Threatened,2006,2006,0,0,0,0,0,0,0,0,0,0,0,625,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2003,0,0
Cirsium pitcheri,110,pitcher's thistle,Vascular Plants,COSEWIC Status Reports,Special Concern,6/5/2003,COSEWIC. 2010. COSEWIC assessment and status report on the Pitcher's Thistle Cirsium pitcheri in Canada. Committee on the Status of Endangered Wildlife. Ottawa. x + 32 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pitcher%27s%20thistle,2010,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,12157.42145,230492.0096,N,0,Special Concern,2003,2003,0,0,0,0,0,0,0,0,0,0,0,1028,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2009,0,0
Clemmys guttata,498,spotted turtle,Reptiles,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2018. Recovery Strategy for the Spotted Turtle (Clemmys guttata) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. ix + 61 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=spotted%20turtle,2018,1,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,103464.9332,777308.5864,N,1,Endangered,NA,2005,1,1,1,1,1,2,1,2,1,1,2,315,6/10/2024,NA,1,GL,"King, R.B. and M.L. Niiro. 2013. Predicting climate-change induced distributional shifts in Great Lakes region reptiles. Illinois Department of Natural Resources 76 pp.",THR,1,0,1,"McKenney, D.W., B.G. Mackey, J.P. Bogart, J.E. McKee, M.J. Oldham, and A. Check. 1998. Bioclimatic and spatial analysis of Ontario reptiles and amphibians. Ecoscience 5(1): 18-30.",SI,0,0,2,2017,2,1
Clemmys guttata,498,spotted turtle,Reptiles,COSEWIC Status Reports,Endangered,7/14/2005,COSEWIC. 2014. COSEWIC assessment and status report on the Spotted Turtle Clemmys guttata in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xiv + 74 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=spotted%20turtle,2014,1,0,NA,0,0,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,103464.9332,777308.5864,N,1,Endangered,2005,2005,1,1,1,1,1,2,1,2,1,1,2,768,7/12/2024,NA,1,GL,"King, R.B. and M.L. Niiro. 2013. Predicting climate-change induced distributional shifts in Great Lakes region reptiles. Ilinois DNR. 76 pp.",THR,1,0,0,NA,NA,NA,NA,1,2013,2,1
Clethra alnifolia,345,sweet pepperbush,Vascular Plants,COSEWIC Status Reports,Threatened,6/5/2003,COSEWIC. 2014. COSEWIC assessment and status report on the Sweet Pepperbush Clethra alnifolia in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 41 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=sweet%20pepperbush,2014,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,3340.040735,470281.2561,N,1,Threatened,2003,2003,0,0,0,0,0,0,0,0,0,0,0,994,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2013,0,0
Clethra alnifolia,345,sweet pepperbush,Vascular Plants,Management Plans,Special Concern,NA,Environment Canada and Parks Canada Agency. 2016. Amended Recovery Strategy and Management Plan for Multiple Species of Atlantic Coastal Plain Flora in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada and Parks Canada Agency. Ottawa. ix + 141 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=sweet%20pepperbush,2016,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,3340.040735,470281.2561,N,1,Threatened,NA,2003,0,0,0,0,0,0,0,0,0,0,0,2117,6/10/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2015,0,0
Coccothraustes vespertinus,1020,evening grosbeak,Birds,COSEWIC Status Reports,Special Concern,5/22/2019,COSEWIC. 2016. COSEWIC assessment and status report on the Evening Grosbeak Coccothraustes vespertinus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 64 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=evening%20grosbeak,2016,1,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World (2016) 2006. Hesperiphona vespertina. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,2122384.767,3928470.199,NA,1,Special Concern,2019,2019,1,0,1,1,0,4,4,3,3,1,4,97,6/26/2024,7/8/2024,0,NA,NA,NA,NA,NA,1,"The Boreal Avian Modeling Project. 2014. Evening Grosbeak, Coccothraustes vespertinus. Web site: http://www.borealbirds.ca/avian_db/accounts.php/Coccothraustes+vespertinus [accessed November 2014]. ; Boreal Avian Modeling Project. 2015. Evening Grosbeak Coccothraustes vespertinus. Web site: http://www.borealbirds.ca/avian_db/accounts.php/Coccothraustes+vespertinus/hab_ ranks. [accessed October 2015]",SI,0,0,3,2015,2,2
Coenonympha nipisiquit,486,maritime ringlet,Arthropods,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2009. COSEWIC assessment and update status report on the Maritime Ringlet Coenonympha nipisiquit in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 34 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=maritime%20ringlet,2009,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,4789.072995,4789.072995,N,1,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,659,6/12/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2008,0,0
Coenonympha nipisiquit,486,maritime ringlet,Arthropods,Recovery Strategies,Endangered,NA,"Environment Canada. 2012. Recovery Strategy for the Maritime Ringlet (Coenonympha nipisiquit) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. iv + 27 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=maritime%20ringlet,2012,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,4789.072995,4789.072995,N,1,Endangered,NA,2003,0,0,0,0,0,0,0,0,0,0,0,1650,6/12/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2011,0,0
Colinus virginianus,107,northern bobwhite,Birds,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2018. Recovery Strategy for the Northern Bobwhite (Colinus virginianus) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. ix + 38 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20bobwhite,2018,0,0,NA,NA,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World 2021. Colinus virginianus. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,21103.37283,4349942.321,NA,0,Endangered,NA,2005,1,0,1,1,0,8,8,5,5,1,8,197,7/16/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2017,2,2
