"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-0.524,0.147,-3.562,0,"m1: North American SDM inclusion"
"2","Birds",1.142,0.223,5.128,0,"m1: North American SDM inclusion"
"3","Lichens",0.171,0.143,1.197,0.231,"m1: North American SDM inclusion"
"4","Mammals",0.452,0.161,2.816,0.005,"m1: North American SDM inclusion"
"5","Molluscs",0.062,0.16,0.389,0.697,"m1: North American SDM inclusion"
"6","Reptiles",0.512,0.157,3.272,0.001,"m1: North American SDM inclusion"
"7","VascularPlants",-0.108,0.231,-0.466,0.641,"m1: North American SDM inclusion"
"8","Threatened",-0.111,0.176,-0.634,0.526,"m1: North American SDM inclusion"
"9","Endangered",-0.218,0.177,-1.231,0.218,"m1: North American SDM inclusion"
"10","Rangesize",0.823,0.188,4.387,0,"m1: North American SDM inclusion"
"11","Year",-0.207,0.171,-1.206,0.228,"m1: North American SDM inclusion"
