"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-1.131,0.122,-9.3,0,"m5 Supplementary: Canada-inclusive SDM research effort"
"2","Amphibians",0.66,0.066,9.998,0,"m5 Supplementary: Canada-inclusive SDM research effort"
"3","Lichens",-0.14,0.137,-1.023,0.306,"m5 Supplementary: Canada-inclusive SDM research effort"
"4","Mammals",0.474,0.082,5.791,0,"m5 Supplementary: Canada-inclusive SDM research effort"
"5","Molluscs",-0.228,0.195,-1.169,0.242,"m5 Supplementary: Canada-inclusive SDM research effort"
"6","Reptiles",0.439,0.082,5.35,0,"m5 Supplementary: Canada-inclusive SDM research effort"
"7","VascularPlants",-0.284,0.159,-1.785,0.074,"m5 Supplementary: Canada-inclusive SDM research effort"
"8","Threatened",-0.072,0.072,-1,0.318,"m5 Supplementary: Canada-inclusive SDM research effort"
"9","Endangered",-0.183,0.07,-2.631,0.009,"m5 Supplementary: Canada-inclusive SDM research effort"
"10","Rangesize",0.479,0.108,4.421,0,"m5 Supplementary: Canada-inclusive SDM research effort"
"11","Year",0.051,0.065,0.781,0.435,"m5 Supplementary: Canada-inclusive SDM research effort"
