"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-0.774,0.15,-5.143,0,"m3 Supplementary: Canada-inclusive SDM inclusion"
"2","Birds",1.189,0.209,5.694,0,"m3 Supplementary: Canada-inclusive SDM inclusion"
"3","Lichens",-0.018,0.157,-0.115,0.909,"m3 Supplementary: Canada-inclusive SDM inclusion"
"4","Mammals",0.544,0.154,3.526,0,"m3 Supplementary: Canada-inclusive SDM inclusion"
"5","Molluscs",-0.157,0.201,-0.782,0.434,"m3 Supplementary: Canada-inclusive SDM inclusion"
"6","Reptiles",0.523,0.152,3.43,0.001,"m3 Supplementary: Canada-inclusive SDM inclusion"
"7","VascularPlants",-0.174,0.228,-0.764,0.445,"m3 Supplementary: Canada-inclusive SDM inclusion"
"8","Threatened",-0.127,0.178,-0.713,0.476,"m3 Supplementary: Canada-inclusive SDM inclusion"
"9","Endangered",-0.168,0.178,-0.945,0.345,"m3 Supplementary: Canada-inclusive SDM inclusion"
"10","Rangesize",0.407,0.177,2.291,0.022,"m3 Supplementary: Canada-inclusive SDM inclusion"
"11","Year",-0.01,0.168,-0.062,0.95,"m3 Supplementary: Canada-inclusive SDM inclusion"
