"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-0.75,0.151,-4.952,0,"m3: Canada-inclusive SDM inclusion"
"2","Birds",1.148,0.215,5.345,0,"m3: Canada-inclusive SDM inclusion"
"3","Lichens",0.047,0.16,0.295,0.768,"m3: Canada-inclusive SDM inclusion"
"4","Mammals",0.528,0.162,3.259,0.001,"m3: Canada-inclusive SDM inclusion"
"5","Molluscs",-0.075,0.204,-0.366,0.715,"m3: Canada-inclusive SDM inclusion"
"6","Reptiles",0.536,0.156,3.438,0.001,"m3: Canada-inclusive SDM inclusion"
"7","VascularPlants",-0.105,0.238,-0.439,0.661,"m3: Canada-inclusive SDM inclusion"
"8","Threatened",-0.109,0.183,-0.596,0.551,"m3: Canada-inclusive SDM inclusion"
"9","Endangered",-0.124,0.183,-0.676,0.499,"m3: Canada-inclusive SDM inclusion"
"10","Rangesize",0.72,0.186,3.868,0,"m3: Canada-inclusive SDM inclusion"
"11","Year",-0.074,0.175,-0.423,0.672,"m3: Canada-inclusive SDM inclusion"
